"","Name","Type","Cat.","PP","Att.","Acc.","Effect","move_type"
"246","Outrage","","","10","120","100","The user rampages and attacks for two to three turns. The user then becomes confused.","physical"
"247","Pay Day","","","20","40","100","Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.","physical"
"248","Payback","","","10","50","100","The user stores power, then attacks. If the user moves after the target, this attack's power will be doubled.","physical"
"249","Peck","","","35","35","100","The target is jabbed with a sharply pointed beak or horn.","physical"
"250","Petal Blizzard","","","15","90","100","The user stirs up a violent petal blizzard and attacks everything around it.","physical"
"251","Phantom Force","","","10","90","100","The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself.","physical"
"252","Pin Missile","","","20","25","95","Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.","physical"
"253","Plasma Fists","","","15","100","100","The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves.","physical"
"254","Play Rough","","","10","90","90","The user plays rough with the target and attacks it. This may also lower the target's Attack stat.","physical"
"255","Pluck","","","20","60","100","The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect.","physical"
"256","Poison Fang","","","15","50","100","The user bites the target with toxic fangs. This may also leave the target badly poisoned.","physical"
"257","Poison Jab","","","20","80","100","The target is stabbed with a tentacle, arm, or the like steeped in poison. This may also poison the target.","physical"
"258","Poison Sting","","","35","15","100","The user stabs the target with a poisonous stinger. This may also poison the target.","physical"
"259","Poison Tail","","","25","50","100","The user hits the target with its tail. This may also poison the target. Critical hits land more easily.","physical"
"260","Poltergeist","","","5","110","90","The user attacks the target by controlling the target's item. The move fails if the target doesn't have an item.","physical"
"261","Pound","","","35","40","100","The target is physically pounded with a long tail, a foreleg, or the like.","physical"
"262","Power Trip","","","10","20","100","The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.","physical"
"263","Power Whip","","","10","120","85","The user violently whirls its vines, tentacles, or the like to harshly lash the target.","physical"
"264","Power-Up Punch","","","20","40","100","Striking opponents over and over makes the user's fists harder. Hitting a target raises the Attack stat.","physical"
"265","Precipice Blades","","","10","120","85","The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.","physical"
"266","Present","","","15","--","90","The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however.","physical"
"267","Psychic Fangs","","","10","85","100","The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.","physical"
"268","Psycho Cut","","","20","70","100","The user tears at the target with blades formed by psychic power. Critical hits land more easily.","physical"
"269","Psyshield Bash","","","10","70","90","Cloaking itself in psychic energy, the user slams into the target. This may also raise the userâ<U+0080><U+0099>s defensive stats.","physical"
"270","Pulverizing Pancake","","","1","210","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"271","Punishment","","","5","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"272","Pursuit","","","20","40","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"273","Pyro Ball","","","5","120","90","The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.","physical"
"274","Quick Attack","","","30","40","100","The user lunges at the target at a speed that makes it almost invisible. This move always goes first.","physical"
"275","Rage","","","20","20","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"276","Raging Fury","","","10","90","85","The user rampages and spews vicious flames to inflict damage on the target, then becomes fixated on using this move.","physical"
"277","Rapid Spin","","","40","50","100","A spin attack that can also eliminate such moves as Bind, Wrap, and Leech Seed. This also raises the user's Speed stat.","physical"
"278","Razor Leaf","","","25","55","95","Sharp-edged leaves are launched to slash at opposing Pokémon. Critical hits land more easily.","physical"
"279","Razor Shell","","","10","75","95","The user cuts its target with sharp shells. This may also lower the target's Defense stat.","physical"
"280","Retaliate","","","5","70","100","The user gets revenge for a fainted ally. If an ally fainted in the previous turn, this move's power is increased.","physical"
"281","Return","","","20","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"282","Revenge","","","10","60","100","This attack move's power is doubled if the user has been hurt by the opponent in the same turn.","physical"
"283","Reversal","","","15","--","100","An all-out attack that becomes more powerful the less HP the user has.","physical"
"284","Rock Blast","","","10","25","90","The user hurls hard rocks at the target. Two to five rocks are launched in a row.","physical"
"285","Rock Climb","","","20","90","85","A charging attack that may also leave the foe confused. It's also one of the Pokétch's hidden moves.","physical"
"286","Rock Slide","","","10","75","90","Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.","physical"
"287","Rock Smash","","","15","40","100","The user attacks with a punch. This may also lower the target's Defense stat.","physical"
"288","Rock Throw","","","15","50","90","The user picks up and throws a small rock at the target to attack.","physical"
"289","Rock Tomb","","","15","60","95","Boulders are hurled at the target. This also lowers the target's Speed stat by preventing its movement.","physical"
"290","Rock Wrecker","","","5","150","90","The user launches a huge boulder at the target to attack. The user can't move on the next turn.","physical"
"291","Rolling Kick","","","15","60","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"292","Rollout","","","20","30","90","The user continually rolls into the target over five turns. It becomes more powerful each time it hits.","physical"
"293","Sacred Fire","","","5","100","95","The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.","physical"
"294","Sacred Sword","","","15","90","100","The user attacks by slicing with a long horn. The target's stat changes don't affect this attack's damage.","physical"
"295","Sand Tomb","","","15","35","85","The user traps the target inside a harshly raging sandstorm for four to five turns.","physical"
"296","Sappy Seed","","","10","100","90","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"297","Savage Spin-Out","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"298","Scale Shot","","","20","25","90","The user attacks by shooting scales two to five times in a row. This move boosts the user's Speed stat but lowers its Defense stat.","physical"
"299","Scratch","","","35","40","100","Hard, pointed, sharp claws rake the target to inflict damage.","physical"
"300","Searing Sunraze Smash","","","1","200","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"301","Secret Power","","","20","70","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"302","Seed Bomb","","","15","80","100","The user slams a barrage of hard-shelled seeds down on the target from above.","physical"
"303","Seismic Toss","","","20","--","100","The target is thrown using the power of gravity. It inflicts damage equal to the user's level.","physical"
"304","Self-Destruct","","","5","200","100","The user attacks everything around it by causing an explosion. The user faints upon using this move.","physical"
"305","Shadow Bone","","","10","85","100","The user attacks by beating the target with a bone that contains a spirit. This may also lower the target's Defense stat.","physical"
"306","Shadow Claw","","","15","70","100","The user slashes with a sharp claw made from shadows. Critical hits land more easily.","physical"
"307","Shadow Force","","","5","120","100","The user disappears, then strikes the target on the next turn. This move hits even if the target protects itself.","physical"
"308","Shadow Punch","","","20","60","101","The user throws a punch from the shadows. This attack never misses.","physical"
"309","Shadow Sneak","","","30","40","100","The user extends its shadow and attacks the target from behind. This move always goes first.","physical"
"310","Shattered Psyche","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"311","Sinister Arrow Raid","","","1","180","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"312","Sizzly Slide","","","20","60","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"313","Skitter Smack","","","10","70","90","The user skitters behind the target to attack. This also lowers the target's Sp. Atk stat.","physical"
"314","Skull Bash","","","10","130","100","The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn.","physical"
"315","Sky Attack","","","5","140","90","A second-turn attack move where critical hits land more easily. This may also make the target flinch.","physical"
"316","Sky Drop","","","10","60","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"317","Sky Uppercut","","","15","85","90","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"318","Slam","","","20","80","75","The target is slammed with a long tail, vines, or the like to inflict damage.","physical"
"319","Slash","","","20","70","100","The target is attacked with a slash of claws or blades. Critical hits land more easily.","physical"
"320","Smack Down","","","15","50","100","The user throws a stone or similar projectile to attack the target. A flying Pokémon will fall to the ground when it's hit.","physical"
"321","Smart Strike","","","10","70","101","The user stabs the target with a sharp horn. This attack never misses.","physical"
"322","Smelling Salts","","","10","70","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"323","Snap Trap","","","15","35","100","The user snares the target in a snap trap for four to five turns.","physical"
"324","Solar Blade","","","10","125","100","In this two-turn attack, the user gathers light and fills a blade with the light's energy, attacking the target on the next turn.","physical"
"325","Soul-Stealing 7-Star Strike","","","1","195","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"326","Spark","","","20","65","100","The user throws an electrically charged tackle at the target. This may also leave the target with paralysis.","physical"
"327","Spectral Thief","","","10","90","100","The user hides in the target's shadow, steals the target's stat boosts, and then attacks.","physical"
"328","Spike Cannon","","","15","20","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"329","Spirit Break","","","15","75","100","The user attacks the target with so much force that it could break the target's spirit. This also lowers the target's Sp. Atk stat.","physical"
"330","Spirit Shackle","","","10","80","100","The user attacks while simultaneously stitching the target's shadow to the ground to prevent the target from escaping.","physical"
"331","Splintered Stormshards","","","1","190","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"332","Steamroller","","","20","65","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"333","Steel Roller","","","5","130","100","The user attacks while destroying the terrain. This move fails when the ground hasn't turned into a terrain.","physical"
"334","Steel Wing","","","25","70","90","The target is hit with wings of steel. This may also raise the user's Defense stat.","physical"
"335","Stomp","","","20","65","100","The target is stomped with a big foot. This may also make the target flinch.","physical"
"336","Stomping Tantrum","","","10","75","100","Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.","physical"
"337","Stone Axe","","","15","65","90","The user swings its stone axes at the target, aiming to land a critical hit. Stone splinters left behind by this attack continue to damage the target for several turns.","physical"
"338","Stone Edge","","","5","100","80","The user stabs the target from below with sharpened stones. Critical hits land more easily.","physical"
"339","Storm Throw","","","10","60","100","The user strikes the target with a fierce blow. This attack always results in a critical hit.","physical"
"340","Strength","","","15","80","100","The target is slugged with a punch thrown at maximum power.","physical"
"341","Struggle","","","1","50","101","This attack is used in desperation only if the user has no PP. It also damages the user a little.","physical"
"342","Submission","","","20","80","80","The user grabs the target and recklessly dives for the ground. This also damages the user a little.","physical"
"343","Subzero Slammer","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"344","Sucker Punch","","","5","70","100","This move enables the user to attack first. This move fails if the target is not readying an attack.","physical"
"345","Sunsteel Strike","","","5","100","100","The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Abilities.","physical"
"346","Super Fang","","","10","--","90","The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half.","physical"
"347","Superpower","","","5","120","100","The user attacks the target with great power. However, this also lowers the user's Attack and Defense stats.","physical"
"348","Supersonic Skystrike","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"349","Surging Strikes","","","5","25","100","The user, having mastered the Water style, strikes the target with a flowing motion three times in a row. This attack always results in a critical hit.","physical"
"350","Tackle","","","35","40","100","A physical attack in which the user charges and slams into the target with its whole body.","physical"
"351","Tail Slap","","","10","25","85","The user attacks by striking the target with its hard tail. It hits the target two to five times in a row.","physical"
"352","Take Down","","","20","90","85","A reckless, full-body charge attack for slamming into the target. This also damages the user a little.","physical"
"353","Tectonic Rage","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"354","Thief","","","25","60","100","The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item.","physical"
"355","Thousand Arrows","","","10","90","100","This move also hits opposing Pokémon that are in the air. Those Pokémon are knocked down to the ground.","physical"
"356","Thousand Waves","","","10","90","100","The user attacks with a wave that crawls along the ground. Those it hits can't flee from battle.","physical"
"357","Thrash","","","10","120","100","The user rampages and attacks for two to three turns. The user then becomes confused.","physical"
"358","Throat Chop","","","15","80","100","The user attacks the target's throat, and the resultant suffering prevents the target from using moves that emit sound for two turns.","physical"
"359","Thunder Fang","","","15","65","95","The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.","physical"
"360","Thunder Punch","","","15","75","100","The target is punched with an electrified fist. This may also leave the target with paralysis.","physical"
"361","Thunderous Kick","","","10","90","100","The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target's Defense stat.","physical"
"362","Triple Arrows","","","15","50","100","The user delivers an axe kick, then fires three arrows. This raises the chance of its future attacks landing critical hits and also lowers the targetâ<U+0080><U+0099>s defensive stats.","physical"
"363","Triple Axel","","","10","20","90","A consecutive three-kick attack that becomes more powerful with each successful hit.","physical"
"364","Triple Kick","","","10","10","90","A consecutive three-kick attack that becomes more powerful with each successful hit.","physical"
"365","Trop Kick","","","15","70","100","The user lands an intense kick of tropical origins on the target. This also lowers the target's Attack stat.","physical"
"366","Twineedle","","","20","25","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"367","Twinkle Tackle","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"368","U-turn","","","20","70","100","After making its attack, the user rushes back to switch places with a party Pokémon in waiting.","physical"
"369","V-create","","","5","180","95","With a hot flame on its forehead, the user hurls itself at its target. This lowers the user's Defense, Sp. Def, and Speed stats.","physical"
"370","Veevee Volley","","","20","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"371","Vine Whip","","","25","45","100","The target is struck with slender, whiplike vines to inflict damage.","physical"
"372","Vise Grip","","","30","55","100","The target is gripped and squeezed from both sides to inflict damage.","physical"
"373","Vital Throw","","","10","70","101","The user attacks last. In return, this throw move never misses.","physical"
"374","Volt Tackle","","","15","120","100","The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis.","physical"
"375","Wake-Up Slap","","","10","70","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"376","Waterfall","","","15","80","100","The user charges at the target and may make it flinch.","physical"
"377","Wave Crash","","","10","75","100","The user shrouds itself in water and slams into the target with its whole body to inflict damage. This also damages the user and raises the userâ<U+0080><U+0099>s action speed.","physical"
"378","Wicked Blow","","","5","80","100","The user, having mastered the Dark style, strikes the target with a fierce blow. This attack always results in a critical hit.","physical"
"379","Wild Charge","","","15","90","100","The user shrouds itself in electricity and smashes into its target. This also damages the user a little.","physical"
"380","Wing Attack","","","35","60","100","The target is struck with large, imposing wings spread wide to inflict damage.","physical"
"381","Wood Hammer","","","15","120","100","The user slams its rugged body into the target to attack. This also damages the user quite a lot.","physical"
"382","Wrap","","","20","15","90","A long body, vines, or the like are used to wrap and squeeze the target for four to five turns.","physical"
"383","X-Scissor","","","15","80","100","The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.","physical"
"384","Zen Headbutt","","","15","80","90","The user focuses its willpower to its head and attacks the target. This may also make the target flinch.","physical"
"385","Zing Zap","","","10","80","100","A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.","physical"
"386","Zippy Zap","","","10","80","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"387","10,000,000 Volt Thunderbolt","","","1","195","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"388","Absorb","","","25","20","100","A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.","special"
"389","Acid","","","30","40","100","Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.","special"
"390","Acid Downpour","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"391","Acid Spray","","","20","40","100","The user spits fluid that works to melt the target. This harshly lowers the target's Sp. Def stat.","special"
"392","Aeroblast","","","5","100","95","A vortex of air is shot at the target to inflict damage. Critical hits land more easily.","special"
"393","Air Cutter","","","25","60","95","The user launches razor-like wind to slash opposing Pokémon. Critical hits land more easily.","special"
"394","Air Slash","","","15","75","95","The user attacks with a blade of air that slices even the sky. This may also make the target flinch.","special"
"395","All-Out Pummeling","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"396","Ancient Power","","","5","60","100","The user attacks with a prehistoric power. This may also raise all the user's stats at once.","special"
"397","Apple Acid","","","10","80","100","The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.","special"
"398","Astral Barrage","","","5","120","100","The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.","special"
"399","Aura Sphere","","","20","80","101","The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.","special"
"400","Aurora Beam","","","20","65","100","The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.","special"
"401","Baddy Bad","","","15","80","95","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"402","Belch","","","10","120","90","The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.","special"
"403","Bitter Malice","","","15","60","100","The user attacks its target with spine-chilling resentment. This may also leave the target with frostbite. This moveâ<U+0080><U+0099>s power is doubled if the target has a status condition.","special"
"404","Black Hole Eclipse","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"405","Blast Burn","","","5","150","90","The target is razed by a fiery explosion. The user can't move on the next turn.","special"
"406","Bleakwind Storm","","","5","95","80","The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also leave the target with frostbite.","special"
"407","Blizzard","","","5","110","70","A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.","special"
"408","Bloom Doom","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"409","Blue Flare","","","5","130","85","The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.","special"
"410","Boomburst","","","10","140","100","The user attacks everything around it with the destructive power of a terrible, explosive sound.","special"
"411","Bouncy Bubble","","","20","60","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"412","Breakneck Blitz","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"413","Brine","","","10","65","100","If the target's HP is half or less, this attack will hit with double the power.","special"
"414","Bubble","","","30","40","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"415","Bubble Beam","","","20","65","100","A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat.","special"
"416","Bug Buzz","","","10","90","100","The user generates a damaging sound wave by vibration. This may also lower the target's Sp. Def stat.","special"
"417","Burn Up","","","5","130","100","To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.","special"
"418","Burning Jealousy","","","5","70","100","The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.","special"
"419","Buzzy Buzz","","","20","60","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"420","Charge Beam","","","10","50","90","The user attacks the target with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.","special"
"421","Chatter","","","20","65","100","The user attacks the target with sound waves of deafening chatter. This confuses the target.","special"
"422","Chloroblast","","","5","120","95","The user launches its amassed chlorophyll to inflict damage on the target. This also damages the user and lowers the userâ<U+0080><U+0099>s action speed.","special"
"423","Clanging Scales","","","5","110","100","The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat goes down after the attack.","special"
"424","Clangorous Soulblaze","","","1","185","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"425","Clear Smog","","","15","50","101","The user attacks the target by throwing a clump of special mud. All stat changes are returned to normal.","special"
"426","Confusion","","","25","50","100","The target is hit by a weak telekinetic force. This may also confuse the target.","special"
"427","Continental Crush","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"428","Core Enforcer","","","10","100","100","If the Pokémon the user has inflicted damage on have already used their moves, this move eliminates the effect of the target's Ability.","special"
"429","Corkscrew Crash","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"430","Dark Pulse","","","15","80","100","The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.","special"
"431","Dazzling Gleam","","","10","80","100","The user damages opposing Pokémon by emitting a powerful flash.","special"
"432","Devastating Drake","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"433","Disarming Voice","","","15","40","101","Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.","special"
"434","Discharge","","","15","80","100","The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.","special"
"435","Doom Desire","","","5","140","100","Two turns after this move is used, a concentrated bundle of light blasts the target.","special"
"436","Draco Meteor","","","5","130","90","Comets are summoned down from the sky onto the target. The attack's recoil harshly lowers the user's Sp. Atk stat.","special"
"437","Dragon Breath","","","20","60","100","The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.","special"
"438","Dragon Energy","","","5","150","100","Converting its life-force into power, the user attacks opposing Pokémon. The lower the user's HP, the lower the move's power.","special"
"439","Dragon Pulse","","","10","85","100","The target is attacked with a shock wave generated by the user's gaping mouth.","special"
"440","Dragon Rage","","","10","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"441","Draining Kiss","","","10","50","100","The user steals the target's HP with a kiss. The user's HP is restored by over half of the damage taken by the target.","special"
"442","Dream Eater","","","15","100","100","The user eats the dreams of a sleeping target. The user's HP is restored by half the damage taken by the target.","special"
"443","Dynamax Cannon","","","5","100","100","The user unleashes a strong beam from its core. This move deals twice the damage if the target is Dynamaxed.","special"
"444","Earth Power","","","10","90","100","The user makes the ground under the target erupt with power. This may also lower the target's Sp. Def stat.","special"
"445","Echoed Voice","","","15","40","100","The user attacks the target with an echoing voice. If this move is used every turn, its power is increased.","special"
"446","Eerie Spell","","","5","80","100","The user attacks with its tremendous psychic power. This also removes 3 PP from the target's last move.","special"
"447","Electro Ball","","","10","--","100","The user hurls an electric orb at the target. The faster the user is than the target, the greater the move's power.","special"
"448","Electroweb","","","15","55","95","The user attacks and captures opposing Pokémon using an electric net. This lowers their Speed stats.","special"
"449","Ember","","","25","40","100","The target is attacked with small flames. This may also leave the target with a burn.","special"
"450","Energy Ball","","","10","90","100","The user draws power from nature and fires it at the target. This may also lower the target's Sp. Def stat.","special"
"451","Eruption","","","5","150","100","The user attacks opposing Pokémon with explosive fury. The lower the user's HP, the lower the move's power.","special"
"452","Esper Wing","","","10","75","90","The user slashes the target with aura-enriched wings. This also raises the userâ<U+0080><U+0099>s action speed. This move has a heightened chance of landing a critical hit.","special"
"453","Eternabeam","","","5","160","90","This is Eternatus's most powerful attack in its original form. The user can't move on the next turn.","special"
"454","Expanding Force","","","10","80","100","The user attacks the target with its psychic power. This move's power goes up and damages all opposing Pokémon on Psychic Terrain.","special"
"455","Extrasensory","","","20","80","100","The user attacks with an odd, unseeable power. This may also make the target flinch.","special"
"456","Fairy Wind","","","30","40","100","The user stirs up a fairy wind and strikes the target with it.","special"
"457","Fiery Dance","","","10","80","100","Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also raise the user's Sp. Atk stat.","special"
"458","Fiery Wrath","","","10","90","100","The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.","special"
"459","Final Gambit","","","5","--","100","The user risks everything to attack its target. The user faints but does damage equal to its HP.","special"
"460","Fire Blast","","","5","110","85","The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.","special"
"461","Fire Pledge","","","10","80","100","A column of fire hits the target. When used with its grass equivalent, its power increases and a vast sea of fire appears.","special"
"462","Fire Spin","","","15","35","85","The target becomes trapped within a fierce vortex of fire that rages for four to five turns.","special"
"463","Flame Burst","","","15","70","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"464","Flamethrower","","","15","90","100","The target is scorched with an intense blast of fire. This may also leave the target with a burn.","special"
"465","Flash Cannon","","","10","80","100","The user gathers all its light energy and releases it all at once. This may also lower the target's Sp. Def stat.","special"
"466","Fleur Cannon","","","5","130","90","The user unleashes a strong beam. The attack's recoil harshly lowers the user's Sp. Atk stat.","special"
"467","Focus Blast","","","5","120","70","The user heightens its mental focus and unleashes its power. This may also lower the target's Sp. Def stat.","special"
"468","Freeze-Dry","","","20","70","100","The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.","special"
"469","Freezing Glare","","","10","90","100","The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.","special"
"470","Freezy Frost","","","10","100","90","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"471","Frenzy Plant","","","5","150","90","The user slams the target with the roots of an enormous tree. The user can't move on the next turn.","special"
"472","Frost Breath","","","10","60","90","The user blows its cold breath on the target. This attack always results in a critical hit.","special"
"473","Fusion Flare","","","5","100","100","The user brings down a giant flame. This move's power is increased when influenced by an enormous lightning bolt.","special"
"474","Future Sight","","","10","120","100","Two turns after this move is used, a hunk of psychic energy attacks the target.","special"
"475","Genesis Supernova","","","1","185","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"476","Giga Drain","","","10","75","100","A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.","special"
"477","Gigavolt Havoc","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"478","Glaciate","","","10","65","95","The user attacks by blowing freezing cold air at opposing Pokémon. This lowers their Speed stats.","special"
"479","Glitzy Glow","","","15","80","95","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"480","Grass Knot","","","20","--","100","The user snares the target with grass and trips it. The heavier the target, the greater the move's power.","special"
"481","Grass Pledge","","","10","80","100","A column of grass hits the target. When used with its water equivalent, its power increases and a vast swamp appears.","special"
"482","Guardian of Alola","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"483","Gust","","","35","40","100","A gust of wind is whipped up by wings and launched at the target to inflict damage.","special"
"484","Heat Wave","","","10","95","90","The user attacks by exhaling hot breath on opposing Pokémon. This may also leave those Pokémon with a burn.","special"
"485","Hex","","","10","65","100","This relentless attack does massive damage to a target affected by status conditions.","special"
"486","Hidden Power","","","15","60","100","A unique attack that varies in type depending on the Pokémon using it.","special"
"487","Hurricane","","","10","110","70","The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target.","special"
"488","Hydro Cannon","","","5","150","90","The target is hit with a watery blast. The user can't move on the next turn.","special"
"489","Hydro Pump","","","5","110","80","The target is blasted by a huge volume of water launched under great pressure.","special"
"490","Hydro Vortex","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"491","Hyper Beam","","","5","150","90","The target is attacked with a powerful beam. The user can't move on the next turn.","special"
"492","Hyper Voice","","","10","90","100","The user lets loose a horribly echoing shout with the power to inflict damage.","special"
"493","Hyperspace Hole","","","5","80","101","Using a hyperspace hole, the user appears right next to the target and strikes. This also hits a target using a move such as Protect or Detect.","special"
"494","Ice Beam","","","10","90","100","The target is struck with an icy-cold beam of energy. This may also leave the target frozen.","special"
"495","Ice Burn","","","5","140","90","On the second turn, an ultracold, freezing wind surrounds the target. This may leave the target with a burn.","special"
